#Fri May 30 14:23:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               1          -36.98           29.52
               2          -18.11           29.65
               3          -107.4           14.61
               4          -140.4           9.723
               5          -15.46            8.83
               6          -4.244           15.26
               7           41.53            10.9
               8             -86           8.154
               9          -22.97           9.006
              10           19.88           10.35
              11           59.42           10.61
              12          -59.81           9.041
              13           -15.6           9.172
              14           26.89           10.71
              15           72.45           10.35
              16          -103.5           10.03
              17          -34.08           7.954
              18           7.201           23.21
              19           21.03           8.208
              20            -108           9.458
              21          -22.45           8.116
              22           15.96           11.35
              23           51.33           7.761
              24          -77.03           8.616
              25          -26.39           8.546
              26           7.645           9.354
              27           53.78           8.313
              28          -49.23           7.929
              29           -12.8           11.24
              30           37.66           8.393
              31            65.4            9.15
              32          -104.7           10.06
              33          -17.21           9.334
              34           2.863           11.73
              35           50.34           11.57
              36          -97.38           8.677
              37          -31.72           9.122
              38           18.77           11.17
              39           42.13           10.16
              40          -73.32           8.426
              41          0.6931           8.414
              42            23.6           11.74
              43           73.36           10.88
              44          -52.55           10.12
              45            3.75           8.665
              46           30.19            9.67
              47              68           10.89
              48          -115.3           11.16
              49          -29.65           7.902
              50          -12.14            17.4
              51           28.62           7.758
              52          -112.3           9.007
              53          -27.94           8.213
              54           4.083           10.76
              55           68.03           7.731
              56          -52.72           8.325
              57          -8.397           9.255
              58           19.42           9.013
              59           72.53           8.631
              60          -29.28           7.831
              61          -17.54           13.21
              62            19.6           7.942
              63           70.22           9.754
              64          -105.5            9.67
              65          -19.36           7.802
              66           30.53           17.46
              67           34.81            12.8
              68          -86.64           8.773
              69          -22.62           7.809
              70           25.41           13.97
              71           54.15           10.76
              72          -72.77           8.244
              73          -7.757           7.626
              74           42.93           11.86
              75           60.41           10.76
              76          -27.37           8.398
              77           2.326            7.66
              78           30.92           10.71
              79           82.08           10.98
              80          -110.1           11.14
              81          -7.573           8.023
              82           13.52           13.68
              83           33.33           7.549
              84           -97.5           9.692
              85          -23.89           7.454
              86           16.41           8.685
              87           74.79           8.006
              88          -74.77           8.349
              89          -6.121           8.595
              90           35.73           7.966
              91           52.01           8.895
              92          -21.09           7.853
              93         -0.5962            12.4
              94           48.39           7.526
              95           98.15           10.17
              96          -125.5           8.895
              97          -16.99           8.108
              98           26.13           15.48
              99           36.84           12.73
             100           -87.4            8.51
             101          -29.03           8.232
             102         -0.4255           12.03
             103           55.13           10.58
             104          -51.21           8.514
             105           8.933            8.45
             106           42.38           11.54
             107           59.21           11.07
             108          -46.52           8.066
             109           21.81           8.326
             110            36.5           12.34
             111           108.4           11.54
             112          -110.6           11.01
             113          -27.02           7.617
             114          -10.15           12.03
             115           44.09           7.553
             116          -64.75           8.994
             117          -23.48           7.299
             118           26.65           8.412
             119           62.78            7.97
             120          -42.31           7.955
             121          -4.994           8.704
             122           35.18           7.744
             123           49.69           9.356
             124          -17.82           7.601
             125           12.64            16.5
             126           43.96           7.844
             127           136.9           11.45
APV               11              11               1               4
               0           64.48           30.47
               1          -56.97           24.85
               2          -31.14           24.48
               3          -41.46           15.48
               4          -134.5            10.1
               5          -78.04             8.5
               6           10.59           15.83
               7           90.74           11.03
