#Wed May 28 15:57:03 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
              45           14.21           8.714
              46           15.65           9.519
              47              44           10.23
              48          -40.52           13.88
              49          -23.68               8
              50          -3.965           25.19
              51           15.26           10.04
              52          -50.88            10.2
              53          -16.02           8.946
              54          -17.79           15.05
              55           26.81           8.029
              56          -23.22           8.827
              57          -18.88           11.06
              58          -11.81           12.11
              59           37.04           8.156
              60          -21.03            7.81
              61          -18.86           17.71
              62         -0.3444           10.48
              63           52.45           9.205
              64           -43.3           10.83
              65          -12.69           8.301
              66            1.25           22.05
              67           18.79           15.22
              68          -26.58           9.819
              69          0.7002           9.068
              70           15.84           16.68
              71           44.36           11.38
              72          -26.86           8.271
              73          -4.806           8.503
              74              15           13.32
              75           46.31            10.9
              76          -25.02           9.103
              77           8.745           8.253
              78           32.81           11.53
              79           78.83           10.91
              80          -29.65           13.87
              81           -18.3           8.029
              82          -1.819            18.8
              83           41.67           8.154
              84          -30.84            11.2
              85          -12.12           7.689
              86           8.267           11.82
              87           28.29           7.591
              88          -26.52           8.933
              89          -25.67           10.61
              90           25.89            9.87
              91           42.44           8.339
              92          -20.19           7.813
              93          -3.478            17.1
              94           4.402           9.034
              95           92.51           9.722
              96          -41.56           9.911
              97          -15.36           9.497
              98         -0.9597           18.74
              99           10.25           14.05
             100          -35.85           9.357
             101          -6.423           9.899
             102           7.834           13.84
             103           31.87           10.67
             104          -29.96           8.595
             105          -4.254           8.106
             106           2.143           12.61
             107           47.19           11.06
             108          -27.52           8.764
             109            1.09           7.858
             110           27.58           13.74
             111           72.03           11.11
             112          -26.57            13.5
             113          -5.375           7.702
             114          -13.64           16.35
             115            18.2           8.324
             116          -36.28           9.949
             117           -30.7           7.726
             118           4.535           11.15
             119           37.39           7.534
             120          -40.97           8.216
             121         -0.8897           10.69
             122              14           9.322
             123           38.86           8.754
             124          -27.88           7.546
             125           6.361           23.31
             126           14.89           9.226
             127             119           10.35
APV               11              11               1               6
               0           98.14           31.27
               1          -10.04           24.63
               2          -13.45           23.54
               3          -85.16           17.35
               4          -116.9           40.94
               5          -52.85           12.57
               6           1.634           18.12
               7           42.52           11.64
               8          -67.99           8.795
               9          -12.97           10.71
              10           25.26           11.83
              11           49.06           11.14
              12          -54.64           9.293
              13          -8.252           11.38
              14           54.81           11.58
              15           32.17           10.58
              16          -58.89            12.7
              17          -32.04           8.461
              18           2.789           34.32
              19           32.43           10.74
              20          -76.72           10.93
              21          -36.91           8.613
              22           30.13           16.82
              23           36.01           8.595
              24          -53.66           9.554
              25          -28.65           9.651
              26           7.476           12.79
              27           62.49            8.25
              28          -40.93           8.601
              29          -16.02           14.65
              30           43.97           11.02
              31           70.65            9.12
              32          -51.62           12.39
              33          -24.24           10.91
              34           7.869            12.8
              35           41.41           12.67
              36          -76.86           9.683
              37          -22.19           11.39
              38           9.981           12.89
              39           56.39           10.93
              40          -45.41           8.856
              41          -15.83           9.937
              42            33.5           13.84
              43           59.19           11.23
              44          -35.93            12.2
              45          -4.665           9.067
              46           47.88           10.09
              47           73.48           10.95
              48          -60.08           15.87
              49          -39.26           8.177
              50          -2.648           27.19
              51           24.39            10.1
              52          -83.97           10.62
              53          -32.26           8.917
              54           21.43           15.34
              55           60.78           8.315
              56          -53.26           9.093
              57          -28.86           11.21
              58           9.711           12.27
              59           73.96           8.518
              60          -30.98           8.313
              61          -1.961           18.04
              62           45.36           10.54
              63           80.74           9.646
              64          -57.69           11.23
              65          -43.28            8.68
              66           8.607            21.7
              67           41.64           15.12
              68          -71.38            9.83
              69          -34.46            9.53
              70           37.68           17.15
              71           41.78           11.98
              72          -53.18           8.731
              73          -17.33           8.903
              74           27.22           14.24
              75           38.73            10.9
              76          -39.17           9.598
              77          -29.84           8.826
              78           19.63           11.94
              79           84.77           11.93
              80          -56.23           14.07
              81          -27.92           8.431
              82          -6.059            19.5
              83           39.46           8.314
              84          -57.64           11.37
              85          -32.25           7.974
              86           15.45           11.96
              87           41.58           7.876
              88          -41.37           9.279
              89          -27.01           10.53
              90           19.67           9.779
              91           36.08           8.521
              92          -55.65           8.171
              93          -16.42            17.2
              94           36.95           8.933
              95           91.68           10.45
              96          -77.07           9.935
              97          -31.26           9.864
              98            35.1            19.5
              99           48.58           14.53
             100          -61.45           9.551
             101           -22.7           10.42
             102           42.98           14.18
             103           66.14            11.7
             104          -51.38           9.008
             105          -10.68           9.722
             106            14.3           13.56
             107           72.15           11.43
             108          -52.09           9.181
             109          -24.14           8.983
             110           60.47           14.38
             111           108.6           12.17
             112          -62.06              14
             113          -49.65           7.939
             114           6.341           17.27
             115           38.99           8.327
             116          -59.42           10.35
             117           -24.4           8.006
             118           47.25            11.2
             119           62.03           7.939
             120          -47.37           8.662
             121          -17.23           10.66
             122           54.69           9.278
             123           55.78           8.888
             124          -39.34           8.021
             125          -13.27           23.23
             126           48.84           9.292
             127           111.9           11.54
APV               11              11               1               7
               0             109           30.81
               1          -36.65           24.79
               2          -41.48           23.84
               3          -51.11            19.4
               4          -112.6           10.68
               5          -84.52           9.987
               6          -3.013           18.47
               7           58.45           12.21
               8           -57.3           8.242
               9          -42.65           10.79
              10           11.07           11.39
              11           82.06           10.73
              12          -84.01           9.098
