# format = APV crate slot mpd_id adc_ch followed by
# APV_channel_number(0-127) pedestal_mean pedestal_rms
APV                2              13               3               1
              94           52.26           12.86
              95           135.5           17.07
              96          -18.42           13.35
              97          -9.402           11.04
              98          -4.911           17.78
              99           80.96           16.61
             100          -24.36           12.33
             101          -21.51           10.96
             102           15.73           40.13
             103           70.63           13.48
             104          -58.16           11.45
             105            -5.8           11.29
             106           15.57            38.9
             107           103.9           14.98
             108          -40.99            10.8
             109           24.44           11.48
             110           49.49           17.23
             111           143.2           17.81
             112          -20.29           14.82
             113          -20.35           10.95
             114          -6.036           14.08
             115           54.23           13.16
             116          -32.18           12.37
             117          -31.78           10.62
             118           5.773            44.4
             119           95.56            12.2
             120          -42.08           11.22
             121          -1.069           10.79
             122           25.67           41.82
             123           98.96            14.8
             124          -22.19           10.72
             125          -4.726           15.43
             126           39.39           13.03
             127           151.2           17.95
APV                2              13               3               4
               0           42.84            46.3
               1          -14.76           27.49
               2          -35.24           20.68
               3          -113.4           16.75
               4          -120.6           14.38
               5          -52.27           12.06
               6          -3.097           16.76
               7           27.87           13.28
               8          -84.16            12.2
               9          -22.98           11.64
              10         -0.4843           12.59
              11           20.76           15.15
              12          -64.36           11.99
              13           -19.6           11.63
              14           29.29           13.33
              15           71.02           13.43
              16          -53.59            15.7
              17          -44.54           11.56
              18           18.27            23.2
              19           27.95           11.72
              20          -70.41           14.39
              21          -24.02           11.72
              22           14.68           13.08
              23           30.07           10.89
              24          -62.55           12.84
              25          -15.15           11.15
              26           13.91           11.69
              27           38.21           13.79
              28          -45.92           11.82
              29          -3.502           12.43
              30           26.98           11.42
              31           37.93           12.72
              32           -62.5           15.69
              33          -47.54           11.92
              34            17.8           12.84
              35           20.59           14.22
              36          -56.31            13.9
              37          -15.42           12.15
              38           23.59           13.44
              39           41.19           13.03
              40          -70.45           12.61
              41           3.736           11.27
              42           27.35           14.35
              43           53.51           14.44
              44          -33.03           12.12
              45           2.622           11.62
              46           41.55           12.54
              47           62.44           14.01
              48          -56.75           16.61
              49          -44.02           11.65
              50           6.962           18.14
              51           33.15           11.86
              52          -70.46            13.6
              53           -15.8           11.47
              54           9.846           12.43
              55           29.78           11.19
              56          -48.15           12.75
              57          -17.98           11.54
              58           12.02           11.74
              59           48.49           12.86
              60          -43.88           11.72
              61         -0.3817           13.67
              62            22.4            11.1
              63           67.12            13.1
              64          -53.23           15.34
              65          -27.44           11.44
              66           15.66           18.64
              67           38.12           15.33
              68          -58.32           13.74
              69          -28.83           11.33
              70           11.18            15.5
              71           33.22           12.88
              72          -38.38           12.27
              73           3.844           10.79
              74           33.34           14.53
              75           55.62           14.41
              76          -53.91           11.23
              77          -6.677           10.56
